unique_work_number,sanction_amount,sanction_date,work_status,implementing_agency,district
W-1458,8316194.11,2022-06-01,In Progress,Municipal Corporation,District_2
W-1459,12566217.71,2023-09-13,Completed,Zila Parishad,District_7
W-1460,2665156.89,2023-06-11,Completed,Zila Parishad,District_6
W-1461,13062857.37,2023-05-02,Completed,Zila Parishad,District_2
W-1462,5205733.64,2023-06-08,Not Started,Municipal Corporation,District_5
W-1463,2260468.02,2024-01-24,Completed,Zila Parishad,District_7
W-1464,7186320.48,2024-02-05,Not Started,Municipal Corporation,District_2
W-1465,9279746.18,2023-09-14,Delayed,Gram Panchayat,District_2
W-1466,2307683.56,2023-03-20,Completed,PWD,District_9
W-1468,13918801.38,2023-06-07,In Progress,PWD,District_2
W-1469,16894900.84,2022-12-11,In Progress,Zila Parishad,District_3
W-1470,15000000.0,2023-12-23,Delayed,Trust,District_2
W-1471,13832871.87,2022-12-11,In Progress,Zila Parishad,District_3
W-1473,16419372.48,2023-08-19,Delayed,PWD,District_7
W-1474,12703646.57,2023-06-21,Completed,Gram Panchayat,District_6
W-1475,13159648.52,2022-10-30,In Progress,Zila Parishad,District_9
W-1476,6357107.66,2023-05-29,In Progress,Gram Panchayat,District_7
W-1477,4857843.29,2022-03-04,In Progress,PWD,District_6
W-1478,17777210.45,2023-11-12,In Progress,Gram Panchayat,District_2
W-1479,17431110.61,2023-03-18,Not Started,Zila Parishad,District_1
W-1480,15000000.0,2022-12-02,In Progress,Trust,District_9
W-1481,758826.81,2023-03-28,In Progress,Gram Panchayat,District_3
W-1482,16053988.97,2023-10-22,In Progress,PWD,District_9
W-1483,10711326.55,2023-10-28,Completed,Zila Parishad,District_5
W-1484,6842846.31,2023-08-21,Delayed,Gram Panchayat,District_9
W-1485,6384119.73,2023-06-08,In Progress,Gram Panchayat,District_1
W-1486,16007725.41,2024-01-01,Not Started,Zila Parishad,District_1
W-1487,10941775.82,2023-07-16,Not Started,Municipal Corporation,District_6
W-1488,6165568.79,2023-03-05,Completed,Municipal Corporation,District_1
W-1489,7697983.15,2023-07-01,Completed,PWD,District_5
W-1490,5520215.12,2022-11-26,In Progress,Zila Parishad,District_8
W-1491,11525417.21,2024-03-09,Not Started,Municipal Corporation,District_9
W-1493,16157533.01,2023-07-19,In Progress,Municipal Corporation,District_3
W-1494,4131678.29,2023-11-15,Delayed,Zila Parishad,District_3
W-1495,8452383.56,2024-01-13,Completed,Gram Panchayat,District_7
W-1496,4361712.97,2023-02-13,In Progress,Zila Parishad,District_6
W-1497,2684334.05,2023-10-05,In Progress,PWD,District_8
W-1498,2255787.98,2023-09-28,Delayed,Zila Parishad,District_8
W-1499,2476390.39,2023-12-08,Completed,Municipal Corporation,District_5
W-1500,7305109.3,2024-02-05,Not Started,PWD,District_5
W-1501,10921925.2,2023-12-13,Completed,Zila Parishad,District_8
W-1502,8578036.73,2023-04-21,Completed,Municipal Corporation,District_7
W-1503,18824898.64,2023-11-17,Completed,Zila Parishad,District_9
W-1504,16866299.05,2023-04-24,Delayed,Zila Parishad,District_1
W-1505,15000000.0,2023-08-21,In Progress,Trust,District_2
W-1506,8258783.84,2024-01-09,In Progress,Gram Panchayat,District_3
W-1507,11013617.73,2023-07-15,Completed,Zila Parishad,District_5
W-1508,15811161.15,2022-08-24,In Progress,Zila Parishad,District_9
W-1509,17765516.6,2023-05-25,Not Started,Municipal Corporation,District_6
W-1510,19717586.91,2022-08-31,In Progress,Gram Panchayat,District_7
W-1511,11774597.97,2023-06-12,Completed,Gram Panchayat,District_8
W-1512,5220484.73,2023-07-23,Not Started,Gram Panchayat,District_9
W-1514,4132514.31,2024-01-15,Completed,Municipal Corporation,District_9
W-1515,7537423.08,2023-11-05,In Progress,Zila Parishad,District_4
W-1516,15865488.51,2023-08-06,Not Started,PWD,District_4
W-1517,10345305.95,2023-07-22,Not Started,PWD,District_2
W-1518,13328183.78,2023-04-22,In Progress,Municipal Corporation,District_3
W-1519,12165102.18,2023-08-04,Completed,Municipal Corporation,District_4
W-1520,8013208.28,2023-07-11,Not Started,Gram Panchayat,District_6
W-1521,11139506.75,2023-05-07,Not Started,Zila Parishad,District_5
W-1522,14475536.93,2024-02-28,In Progress,PWD,District_7
W-1523,21131831.18,2023-08-28,Not Started,Municipal Corporation,District_2
W-1524,4961032.08,2023-06-02,Not Started,Zila Parishad,District_5
W-1525,15000000.0,2023-05-26,Completed,Trust,District_5
W-1526,12261965.8,2023-11-16,Delayed,PWD,District_1
W-1529,6360558.45,2024-02-10,Not Started,PWD,District_5
W-1530,7268493.48,2024-03-01,Delayed,Zila Parishad,District_1
W-1531,13428883.82,2023-04-20,Delayed,PWD,District_9
W-1532,7112906.47,2023-12-13,Completed,Gram Panchayat,District_1
W-1533,5309853.04,2023-11-05,Not Started,Gram Panchayat,District_7
W-1534,3779539.5,2023-06-06,In Progress,Gram Panchayat,District_6
W-1535,3268263.43,2023-06-01,Delayed,Municipal Corporation,District_2
W-1536,17458510.1,2023-05-01,In Progress,Municipal Corporation,District_8
W-1538,2285214.09,2023-03-17,Not Started,Gram Panchayat,District_9
W-1540,15577438.76,2023-08-17,Not Started,Gram Panchayat,District_2
W-1541,15000000.0,2023-09-23,Completed,Trust,District_7
W-1542,11642030.01,2023-12-17,Completed,Zila Parishad,District_9
W-1543,3352180.72,2023-09-16,In Progress,PWD,District_4
W-1544,16515482.71,2023-06-29,Completed,Zila Parishad,District_4
W-1545,12573223.34,2023-07-28,Not Started,Gram Panchayat,District_1
W-1546,15387707.2,2021-12-26,In Progress,PWD,District_2
W-1547,3179047.15,2023-07-06,Completed,PWD,District_6
W-1548,12066134.71,2023-11-08,Not Started,PWD,District_6
W-1549,17583817.45,2024-03-13,In Progress,Municipal Corporation,District_6
W-1550,7592874.5,2023-03-13,Completed,Gram Panchayat,District_3
W-1551,15000000.0,,In Progress,Trust,District_9
W-1552,15000000.0,2023-10-09,In Progress,Trust,District_1
W-1553,14548266.74,2023-11-14,Not Started,Gram Panchayat,District_9
W-1554,8551485.26,2023-07-07,Not Started,PWD,District_5
W-1555,8173370.41,2023-05-10,Completed,PWD,District_5
W-1556,15920572.41,2023-10-21,Delayed,PWD,District_5
W-1557,656418.69,2023-09-26,Completed,Municipal Corporation,District_2
W-1558,8711609.07,2024-01-08,Completed,Municipal Corporation,District_2
W-1559,7087111.44,2024-01-29,Completed,PWD,District_4
W-1560,8519053.79,2024-03-10,Completed,Municipal Corporation,District_1
W-1561,752722.43,2023-06-15,Completed,Gram Panchayat,District_5
W-1562,17222698.75,2023-09-12,In Progress,Zila Parishad,District_1
W-1563,18982250.46,2023-07-31,Completed,Gram Panchayat,District_4
W-1564,9197710.83,2023-11-05,In Progress,PWD,District_3
W-1565,8720981.43,2023-08-24,In Progress,Municipal Corporation,District_9
W-1566,4254742.71,2023-07-11,Delayed,Zila Parishad,District_7
W-1567,13805069.44,2023-03-02,Delayed,Zila Parishad,District_2
W-1568,6351960.71,2023-07-06,Not Started,PWD,District_5
W-1569,10217374.25,2023-10-17,Completed,Municipal Corporation,District_7
W-1570,5666313.93,2024-01-04,In Progress,Municipal Corporation,District_6
W-1571,19214005.25,2023-09-16,Completed,Zila Parishad,District_9
W-1572,5252659.34,2023-10-25,In Progress,Zila Parishad,District_5
W-1573,12311299.87,2023-05-21,Delayed,Gram Panchayat,District_6
W-1574,2325568.87,2023-10-29,Completed,Gram Panchayat,District_3
W-1575,12932098.02,2023-10-23,Delayed,Municipal Corporation,District_9
W-1576,13971804.97,2023-05-23,Completed,Municipal Corporation,District_9
W-1577,3110328.47,2023-03-31,Not Started,Municipal Corporation,District_7
W-1578,7109030.64,2023-03-29,Completed,Zila Parishad,District_6
W-1580,7453265.56,2023-05-19,Completed,Municipal Corporation,District_9
W-1581,6863176.93,2023-06-22,In Progress,PWD,District_6
W-1582,1553237.74,2023-03-08,Completed,Zila Parishad,District_1
W-1583,3745244.01,2023-11-11,In Progress,Zila Parishad,District_5
W-1584,13068987.96,2022-10-13,In Progress,Municipal Corporation,District_1
W-1585,19413193.96,2023-04-24,Not Started,PWD,District_6
W-1586,18939561.26,2023-02-28,Not Started,Municipal Corporation,District_9
W-1587,9891346.71,2023-10-06,In Progress,Zila Parishad,District_6
W-1588,15068062.9,2023-09-02,Delayed,Municipal Corporation,District_9
W-1589,2356010.79,2023-09-27,Completed,Zila Parishad,District_8
W-1590,16257342.35,2023-04-25,Completed,Municipal Corporation,District_3
W-1591,783849.09,2023-07-24,Not Started,PWD,District_5
W-1593,2257944.95,2023-07-20,Completed,Gram Panchayat,District_5
W-1594,5729106.85,2023-03-31,Not Started,Municipal Corporation,District_3
W-1595,1902264.99,2024-01-23,Completed,Zila Parishad,District_9
W-1596,11907927.3,2023-01-17,In Progress,Gram Panchayat,District_9
W-1598,9626815.35,2023-04-30,Completed,Gram Panchayat,District_4
W-1599,11845327.25,2023-08-04,Completed,Zila Parishad,District_8
W-1600,13958009.63,2024-01-16,Delayed,Gram Panchayat,District_5
W-1601,15110572.01,2023-04-21,Delayed,PWD,District_7
W-1602,5488727.44,2023-10-24,Delayed,Zila Parishad,District_2
W-1603,15422165.04,2023-12-03,Delayed,PWD,District_8
W-1604,4239857.09,2023-08-04,In Progress,Zila Parishad,District_2
W-1605,1265313.74,2023-10-08,Delayed,Zila Parishad,District_8
W-1606,523915.34,2023-10-31,Delayed,PWD,District_4
W-1607,15768439.92,2023-04-06,Delayed,Municipal Corporation,District_1
W-1608,19389134.45,2023-06-10,Not Started,PWD,District_5
W-1610,14244879.2,2023-11-01,Delayed,Gram Panchayat,District_9
W-1611,2296589.45,2023-05-10,Delayed,Gram Panchayat,District_3
W-1612,12888400.52,2023-09-17,Completed,Gram Panchayat,District_6
W-1613,6864264.71,2023-04-19,Delayed,Gram Panchayat,District_9
W-1614,14407142.18,2022-03-02,In Progress,Municipal Corporation,District_8
W-1615,6780171.22,2024-02-03,Not Started,Zila Parishad,District_7
W-1616,5944593.26,2023-06-27,In Progress,Municipal Corporation,District_9
W-1618,10623613.32,2023-03-10,Not Started,Municipal Corporation,District_3
W-1619,13443861.92,2023-06-12,Delayed,Zila Parishad,District_8
W-1621,5676410.06,2023-09-10,Delayed,Zila Parishad,District_9
W-1622,16900941.11,2023-05-31,Completed,Gram Panchayat,District_9
W-1623,19203948.88,2023-06-24,Not Started,PWD,District_3
W-1624,8337556.71,2023-04-04,In Progress,Zila Parishad,District_5
W-1625,18855507.52,2024-01-19,Completed,Municipal Corporation,District_9
W-1626,11647419.54,2023-09-18,In Progress,PWD,District_8
W-1627,4667321.88,2023-10-22,In Progress,Gram Panchayat,District_9
W-1628,18108120.63,2023-09-29,In Progress,Municipal Corporation,District_3
W-1629,15978777.7,2024-03-25,Completed,Zila Parishad,District_5
W-1630,1148810.92,2023-03-17,Completed,Zila Parishad,District_4
W-1631,11172649.02,2023-04-13,Not Started,PWD,District_6
W-1632,14026827.76,2024-01-18,Completed,Municipal Corporation,District_9
W-1633,2169270.07,2023-10-07,Completed,Gram Panchayat,District_1
W-1634,11918173.61,2024-02-03,Completed,Gram Panchayat,District_7
W-1636,4256535.23,2023-06-19,In Progress,Municipal Corporation,District_6
W-1637,17037266.35,2023-12-01,Not Started,Zila Parishad,District_7
W-1639,16201319.04,2024-02-21,Not Started,Municipal Corporation,District_5
W-1640,6382113.71,2023-07-18,Not Started,Zila Parishad,District_3
W-1641,16872078.7,2023-12-04,In Progress,Municipal Corporation,District_4
W-1642,14849217.34,2023-06-17,In Progress,Municipal Corporation,District_1
W-1643,4503703.54,2024-02-23,Not Started,PWD,District_9
W-1645,3335642.44,2022-03-16,In Progress,Gram Panchayat,District_1
W-1646,15000000.0,2023-05-27,Completed,Trust,District_6
W-1647,1756436.71,2023-11-28,Not Started,PWD,District_1
W-1648,12185083.97,2024-01-06,In Progress,Zila Parishad,District_9
W-1649,2977396.18,2023-12-19,Delayed,Municipal Corporation,District_8
W-1650,9255299.7,2023-12-24,Delayed,Municipal Corporation,District_3
W-1651,2709168.89,2023-04-29,Not Started,PWD,District_3
W-1652,8915590.76,2023-04-10,Completed,Municipal Corporation,District_3
W-1653,6122299.19,2023-10-16,Delayed,Zila Parishad,District_3
W-1654,8311517.68,2023-05-12,Completed,Municipal Corporation,District_4
W-1655,9561591.96,2023-12-14,Not Started,Municipal Corporation,District_3
W-1656,21553401.06,2023-12-04,In Progress,PWD,District_7
W-1657,12552695.94,2023-09-17,In Progress,PWD,District_1
W-1658,18120057.18,2023-11-29,Delayed,Municipal Corporation,District_2
W-1659,6774914.52,2023-12-05,In Progress,Zila Parishad,District_5
W-1660,6775617.25,2023-06-05,Completed,Gram Panchayat,District_5
W-1661,2573086.06,2023-06-19,Delayed,PWD,District_4
W-1662,13208083.07,2024-02-24,Completed,Gram Panchayat,District_3
W-1663,15000000.0,2023-10-07,Delayed,Trust,District_8
W-1664,2472471.84,2022-06-27,In Progress,Gram Panchayat,District_5
W-1665,15151761.4,2024-01-24,In Progress,PWD,District_6
W-1666,9555367.03,2023-04-06,In Progress,Gram Panchayat,District_7
W-1667,9706900.03,2023-09-15,In Progress,PWD,District_4
W-1668,2194686.12,2023-12-18,Delayed,Zila Parishad,District_7
W-1669,3163646.85,2023-02-08,Delayed,PWD,District_5
W-1670,11840919.01,2023-11-21,Delayed,Municipal Corporation,District_7
W-1671,18264759.52,2023-06-20,Completed,PWD,District_2
W-1672,8160543.8,2024-02-19,In Progress,Gram Panchayat,District_3
W-1673,10114043.9,2022-04-03,In Progress,Zila Parishad,District_4
W-1674,10512452.07,2023-09-16,Delayed,Zila Parishad,District_8
W-1675,18609456.3,2023-02-13,Delayed,Municipal Corporation,District_1
W-1676,4391648.03,2023-10-16,Completed,Municipal Corporation,District_5
W-1677,19869038.56,2023-07-03,In Progress,Municipal Corporation,District_7
W-1678,9525189.51,2023-12-06,Completed,Municipal Corporation,District_3
W-1679,3441339.1,2023-09-16,Completed,Zila Parishad,District_9
W-1680,9527197.92,2023-11-18,Not Started,Municipal Corporation,District_1
W-1681,13383757.97,2023-08-05,Completed,Zila Parishad,District_5
W-1682,9383555.78,2022-04-23,In Progress,Gram Panchayat,District_7
W-1683,2889342.28,2023-08-01,Not Started,PWD,District_4
W-1684,7943432.87,2023-04-21,Not Started,Gram Panchayat,District_1
W-1685,5498404.52,2023-09-25,In Progress,Municipal Corporation,District_7
W-1686,4470726.16,2023-06-21,Completed,Municipal Corporation,District_9
W-1687,10790104.61,2023-11-15,Not Started,PWD,District_6
W-1689,17727742.77,2023-04-20,Completed,Zila Parishad,District_5
W-1690,6001390.0,2023-12-13,Completed,Municipal Corporation,District_4
W-1691,12257953.94,2023-02-28,In Progress,Municipal Corporation,District_8
W-1692,18754199.68,2023-08-24,Delayed,Municipal Corporation,District_2
W-1693,4536016.26,2023-04-02,Delayed,Municipal Corporation,District_3
W-1694,19106501.19,2023-12-25,Delayed,PWD,District_1
W-1696,17146802.46,2023-10-26,Completed,Municipal Corporation,District_8
W-1697,13579515.32,2023-06-08,Delayed,Gram Panchayat,District_2
W-1698,12291536.5,2023-02-14,Completed,PWD,District_2
W-1699,2215017.69,2023-03-28,In Progress,Zila Parishad,District_8
W-1700,11580466.64,2023-05-09,In Progress,PWD,District_3
W-1701,3222975.26,2023-07-10,Not Started,PWD,District_9
W-1702,16852576.44,2024-02-28,Delayed,Municipal Corporation,District_5
W-1703,1569437.35,2023-03-18,Delayed,Municipal Corporation,District_5
W-1704,11075251.41,2023-03-20,Delayed,PWD,District_3
W-1705,12812732.92,2023-04-17,Delayed,Zila Parishad,District_7
W-1706,7634344.69,2023-10-27,Delayed,Zila Parishad,District_8
W-1707,10708081.52,2023-07-22,Completed,PWD,District_7
W-1708,15331480.34,2023-07-19,Not Started,Zila Parishad,District_5
W-1709,15000000.0,2022-03-29,In Progress,Trust,District_8
W-1710,6069687.56,2023-06-13,Completed,Zila Parishad,District_1
W-1711,6817492.76,2023-10-14,In Progress,Municipal Corporation,District_8
W-1713,18446782.82,2023-10-01,Completed,PWD,District_9
W-1714,2329490.23,2022-10-15,In Progress,PWD,District_4
W-1715,5336061.45,2023-06-29,Completed,PWD,District_6
W-1716,731670.77,2023-07-20,In Progress,Gram Panchayat,District_7
W-1717,13857137.27,2023-10-16,Delayed,Zila Parishad,District_6
W-1718,9142354.51,2023-12-12,Delayed,Municipal Corporation,District_3
W-1719,5530759.56,2023-06-16,Completed,Gram Panchayat,District_1
W-1720,2398485.23,2023-10-11,Not Started,PWD,District_6
W-1721,7738485.51,2023-09-23,Not Started,PWD,District_7
W-1722,15119670.63,2023-07-15,Completed,Zila Parishad,District_6
W-1723,20025124.44,2024-02-17,In Progress,Municipal Corporation,District_9
W-1724,4313227.63,2023-02-07,Not Started,PWD,District_7
W-1725,13585539.9,2022-05-29,In Progress,Zila Parishad,District_5
W-1726,11447287.55,2023-09-27,Delayed,Municipal Corporation,District_5
W-1727,2809954.08,2023-07-07,Completed,Gram Panchayat,District_9
W-1728,12473129.47,2024-01-07,In Progress,PWD,District_7
W-1729,14441925.9,2024-01-07,In Progress,PWD,District_6
W-1730,7608845.64,2024-03-13,In Progress,Municipal Corporation,District_7
W-1731,12017734.13,2023-11-09,In Progress,Gram Panchayat,District_2
W-1732,5107578.47,2023-04-01,Completed,Zila Parishad,District_9
W-1733,10823858.58,2023-08-28,Not Started,Gram Panchayat,District_1
W-1734,6521556.38,2023-05-05,In Progress,PWD,District_8
W-1735,19121912.1,2024-03-13,In Progress,PWD,District_4
W-1736,13128819.92,2023-11-28,Completed,PWD,District_9
W-1737,9847017.63,2023-11-14,Delayed,Zila Parishad,District_8
W-1738,10870393.69,2024-01-09,Delayed,Gram Panchayat,District_8
W-1739,13550144.86,2023-12-20,Delayed,PWD,District_5
W-1740,6317661.15,2023-10-12,Completed,PWD,District_8
W-1741,17680301.66,2023-05-11,Completed,Gram Panchayat,District_7
W-1742,8462002.2,2023-03-19,Completed,PWD,District_9
W-1743,15779350.33,2023-08-08,Delayed,PWD,District_4
W-1746,12427442.53,2023-06-18,Completed,Municipal Corporation,District_9
W-1747,4536099.15,2023-11-13,Delayed,Municipal Corporation,District_4
W-1749,9930897.61,2023-03-09,Delayed,Municipal Corporation,District_7
W-1751,5998862.71,2023-12-15,In Progress,Gram Panchayat,District_6
W-1752,17135794.42,2023-02-09,Completed,Zila Parishad,District_9
W-1753,17755006.64,2023-10-03,Completed,Zila Parishad,District_9
W-1754,15309841.88,2023-08-09,In Progress,Municipal Corporation,District_7
W-1755,14128556.52,2023-02-18,Completed,Gram Panchayat,District_9
W-1756,15011663.44,2023-06-16,In Progress,Zila Parishad,District_8
W-1757,7904034.3,2024-02-10,Delayed,Municipal Corporation,District_3
W-1758,5109696.14,2022-10-01,In Progress,PWD,District_7
W-1759,19952455.23,2024-01-13,Not Started,Zila Parishad,District_1
W-1760,16597102.48,2024-04-02,Delayed,Gram Panchayat,District_1
W-1761,8248481.01,2023-11-03,Not Started,Zila Parishad,District_4
W-1762,18492301.95,2024-02-12,In Progress,Gram Panchayat,District_2
W-1763,1970866.86,2023-08-30,In Progress,PWD,District_5
W-1764,7371214.47,2023-07-18,Not Started,PWD,District_2
W-1765,15714692.98,2024-01-26,In Progress,PWD,District_9
W-1766,1421944.49,2024-02-07,Completed,Municipal Corporation,District_7
W-1767,5814148.89,2023-03-22,In Progress,PWD,District_4
W-1768,14695826.93,2023-09-10,Not Started,Zila Parishad,District_5
W-1769,12218349.72,2023-09-06,In Progress,Municipal Corporation,District_7
W-1770,9894207.26,2023-12-02,In Progress,Gram Panchayat,District_1
W-1772,14345685.77,2023-12-10,Not Started,Zila Parishad,District_1
W-1773,18327366.09,2023-04-10,Delayed,Gram Panchayat,District_1
W-1774,5312604.83,2023-07-08,Completed,Zila Parishad,District_2
W-1775,17196889.69,2023-06-02,Completed,Municipal Corporation,District_1
W-1776,15291267.54,2023-09-24,Not Started,Municipal Corporation,District_2
W-1777,6481218.36,2024-02-14,Not Started,Gram Panchayat,District_6
W-1778,7339773.19,2023-03-26,In Progress,Gram Panchayat,District_6
W-1779,15176196.67,2023-02-27,Delayed,Municipal Corporation,District_5
W-1780,15202445.38,2023-06-18,Delayed,Municipal Corporation,District_1
W-1781,2016081.9,2023-05-26,Delayed,Gram Panchayat,District_9
W-1782,9061664.3,2023-02-17,In Progress,Zila Parishad,District_9
W-1784,16011158.01,2022-07-05,In Progress,Zila Parishad,District_3
W-1785,21465826.54,2023-01-27,In Progress,Zila Parishad,District_8
W-1786,8288983.25,2024-03-16,Delayed,Municipal Corporation,District_5
W-1787,15983219.79,2023-11-04,Completed,Municipal Corporation,District_2
W-1788,1710887.46,2023-09-14,Delayed,PWD,District_3
W-1789,15255252.65,2023-05-07,Delayed,PWD,District_8
W-1791,11562574.58,2024-01-10,Delayed,Municipal Corporation,District_9
W-1792,1085369.95,2023-10-20,Completed,PWD,District_2
W-1793,10421710.12,2023-07-18,Not Started,PWD,District_2
W-1794,1968329.84,2024-01-06,Completed,PWD,District_7
W-1795,9604608.44,2023-06-24,Delayed,Municipal Corporation,District_3
W-1796,13885061.87,2023-07-06,In Progress,PWD,District_6
W-1797,12771328.72,2023-11-16,Not Started,Gram Panchayat,District_7
W-1798,19613604.78,2022-01-17,In Progress,Municipal Corporation,District_7
W-1800,12020625.89,2023-11-28,In Progress,Municipal Corporation,District_6
W-1801,12689431.29,2023-05-03,Completed,Municipal Corporation,District_8
W-1802,6493443.33,2023-04-29,Not Started,Municipal Corporation,District_8
W-1803,9538687.92,2023-06-27,Delayed,PWD,District_9
W-1804,13893377.06,2023-07-14,Not Started,Gram Panchayat,District_5
W-1805,11984917.82,2023-10-21,Not Started,Zila Parishad,District_6
W-1806,9758556.6,2023-07-04,Completed,Zila Parishad,District_2
W-1807,9932446.32,2023-08-02,Completed,Gram Panchayat,District_8
W-1809,19635308.61,2024-01-05,Delayed,Zila Parishad,District_8
W-1810,19567161.07,2023-06-14,Not Started,Zila Parishad,District_8
W-1811,9508994.8,2023-03-18,Completed,Municipal Corporation,District_5
W-1812,9306892.07,2023-09-07,Delayed,Municipal Corporation,District_3
W-1813,12817704.5,2023-05-03,In Progress,Zila Parishad,District_6
W-1814,855390.75,2023-05-02,Completed,Municipal Corporation,District_9
W-1815,14532627.97,2023-09-23,Completed,Zila Parishad,District_3
W-1816,2159971.62,2023-02-10,Delayed,Gram Panchayat,District_7
W-1817,7922691.62,2023-08-24,Completed,Gram Panchayat,District_2
W-1818,15000000.0,2023-11-30,Completed,Trust,District_7
W-1819,683358.71,2023-02-09,Completed,Municipal Corporation,District_1
W-1820,7946369.02,2023-10-28,Completed,PWD,District_6
W-1821,8655145.91,2024-01-04,Completed,Zila Parishad,District_5
W-1822,18222994.56,2023-03-31,Not Started,Zila Parishad,District_6
W-1823,5011701.36,2024-02-10,Completed,Gram Panchayat,District_6
W-1824,15123157.92,2023-01-17,In Progress,Zila Parishad,District_8
W-1826,3580915.59,2024-01-05,In Progress,PWD,District_6
W-1827,2013748.01,2023-03-01,Not Started,PWD,District_1
W-1828,7658718.46,2023-06-14,Completed,Gram Panchayat,District_7
W-1829,9558628.27,2023-08-03,In Progress,Gram Panchayat,District_3
W-1830,15738487.94,2023-10-11,Delayed,Zila Parishad,District_5
W-1831,16809437.54,2024-02-07,Not Started,Municipal Corporation,District_6
W-1833,7738814.99,2023-02-20,Completed,PWD,District_4
W-1834,14596889.08,2023-07-06,Not Started,Gram Panchayat,District_7
W-1835,6392600.4,2024-03-06,Completed,Gram Panchayat,District_9
W-1836,4012021.69,2023-05-19,Not Started,PWD,District_8
W-1837,5312301.39,2023-10-14,Completed,PWD,District_3
W-1838,14255586.32,2024-02-15,In Progress,Municipal Corporation,District_2
W-1839,5444962.19,2023-04-08,Not Started,Municipal Corporation,District_9
W-1840,20263193.33,2023-11-14,Delayed,PWD,District_8
W-1842,3762396.36,2023-01-11,In Progress,Municipal Corporation,District_2
W-1843,15000000.0,,In Progress,Trust,District_3
W-1844,8518937.78,2023-08-04,Not Started,PWD,District_6
W-1845,2911456.81,2023-10-05,In Progress,Gram Panchayat,District_5
W-1846,10915554.33,2023-11-25,Not Started,PWD,District_5
W-1847,18813001.24,2023-09-02,Not Started,Municipal Corporation,District_4
W-1848,8959830.47,2024-01-16,In Progress,Zila Parishad,District_9
W-1849,14513112.99,2023-09-17,Not Started,Municipal Corporation,District_1
W-1850,1930069.38,2023-03-11,In Progress,Municipal Corporation,District_1
W-1851,15426521.44,2023-02-14,Delayed,Gram Panchayat,District_5
W-1852,1909911.06,2023-12-31,Delayed,Municipal Corporation,District_8
W-1853,8541780.69,2024-01-31,In Progress,PWD,District_9
W-1855,15000000.0,2024-03-20,In Progress,Trust,District_3
W-1856,16948148.71,2023-06-08,Delayed,Municipal Corporation,District_1
W-1857,14681774.73,2023-10-22,Delayed,Gram Panchayat,District_2
W-1858,4080603.41,2024-03-29,Delayed,Gram Panchayat,District_8
W-1859,3902186.84,2023-12-12,Not Started,Gram Panchayat,District_5
W-1860,488960.67,2023-12-16,Delayed,Zila Parishad,District_6
W-1861,13390392.97,2024-01-01,Not Started,Gram Panchayat,District_2
W-1862,14310205.19,2024-01-25,In Progress,Zila Parishad,District_8
W-1863,12427947.03,2023-12-18,Not Started,Municipal Corporation,District_3
W-1864,1639012.88,2023-01-22,Delayed,Gram Panchayat,District_5
W-1865,21048411.25,2023-01-28,In Progress,Municipal Corporation,District_6
W-1866,12478300.87,2023-11-15,Completed,Municipal Corporation,District_1
W-1867,11373070.3,2023-10-28,In Progress,Gram Panchayat,District_5
W-1868,14863598.19,2023-12-10,In Progress,Gram Panchayat,District_8
W-1869,15946358.85,2023-09-04,Completed,PWD,District_4
W-1870,3093703.14,2024-03-10,Delayed,Zila Parishad,District_1
W-1871,3771705.61,2024-02-04,In Progress,Zila Parishad,District_5
W-1873,6875937.37,2023-04-06,In Progress,PWD,District_1
W-1874,6908873.82,2022-12-21,In Progress,Municipal Corporation,District_5
W-1875,13671604.88,2023-09-29,Delayed,PWD,District_9
W-1876,8365553.77,2023-12-03,Delayed,PWD,District_2
W-1877,6870497.19,2024-01-04,In Progress,Gram Panchayat,District_4
W-1878,16855951.44,2023-05-09,Not Started,Zila Parishad,District_8
W-1879,10277505.12,2023-06-15,Completed,Zila Parishad,District_7
W-1880,10628520.24,2023-05-04,Completed,Municipal Corporation,District_7
W-1881,14866542.28,2023-10-24,Completed,Gram Panchayat,District_6
W-1882,2872794.28,2023-09-21,In Progress,Municipal Corporation,District_6
W-1884,8984448.76,2023-09-18,In Progress,Municipal Corporation,District_1
W-1885,9829449.1,2023-02-04,In Progress,Municipal Corporation,District_7
W-1886,7250890.62,2023-04-04,Delayed,PWD,District_3
W-1887,18486876.63,2023-11-21,Delayed,Gram Panchayat,District_1
W-1888,16820977.0,2023-11-08,In Progress,Municipal Corporation,District_5
W-1889,18213093.42,2024-01-19,In Progress,Zila Parishad,District_5
W-1890,15911584.28,2023-10-31,Not Started,Municipal Corporation,District_3
W-1891,9325016.05,2024-01-10,Delayed,Municipal Corporation,District_4
W-1892,7980727.13,2023-09-26,Not Started,Municipal Corporation,District_8
W-1893,17142035.63,2023-08-17,Completed,Zila Parishad,District_7
W-1894,11113264.18,2023-11-12,Delayed,Gram Panchayat,District_5
W-1895,15308737.11,2023-08-06,In Progress,Gram Panchayat,District_6
W-1896,20001888.96,2023-08-29,Not Started,Gram Panchayat,District_7
W-1898,18493594.06,2023-05-16,In Progress,Gram Panchayat,District_6
W-1899,8519205.41,2024-01-14,Completed,PWD,District_3
W-1900,11224231.8,2023-12-28,In Progress,PWD,District_7
W-1901,19422060.45,2023-07-21,Not Started,Gram Panchayat,District_7
W-1902,1203691.26,2023-04-15,Completed,Municipal Corporation,District_6
