unique_work_number,amount_spent,vendor_name,payment_date,payment_status
W-1974,204854.34,PQR Engineering,2024-01-01,Success
W-1975,4769790.2,ABC Construction,2024-01-01,Success
W-1978,5497569.34,PQR Engineering,2024-01-01,Success
W-1980,954941.31,MNO Contractors,2024-01-01,Success
W-1982,1847299.55,PQR Engineering,2024-01-01,Success
W-1983,11273733.66,PQR Engineering,2024-01-01,Success
W-1988,1743804.32,XYZ Builders,2024-01-01,Success
W-1990,23181748.48,MNO Contractors,2024-01-01,Success
W-1992,17773655.06,PQR Engineering,2024-01-01,Success
W-1993,9250081.23,PQR Engineering,2024-01-01,Success
W-1994,17873701.06,PQR Engineering,2024-01-01,Success
W-1996,3311853.33,PQR Engineering,2024-01-01,Success
W-1999,12744587.53,PQR Engineering,2024-01-01,Success
W-9999,14593664.46,ABC Construction,2024-01-01,Success
