unique_work_number,mp_name,state,constituency,work_name,work_category,recommended_amount,date_recommended,implementing_agency
W-1228,MP_1,West Bengal,Constituency_19,Construction of Roads at location 605,Roads,7748619.29,2023-11-23,PWD
W-1229,MP_4,Uttar Pradesh,Constituency_18,Construction of Roads at location 114,Roads,4236062.44,2023-09-14,Gram Panchayat
W-1230,MP_5,Kerala,Constituency_4,Construction of Education at location 824,Education,10575618.51,2023-05-29,Municipal Corporation
W-1231,MP_4,Kerala,Constituency_14,Construction of Drinking Water at location 84,Drinking Water,4491262.13,2023-08-30,Gram Panchayat
W-1232,MP_3,West Bengal,Constituency_1,Construction of Education at location 40,Education,14671609.87,2023-07-08,Gram Panchayat
W-1233,MP_6,Kerala,Constituency_9,Construction of Sanitation at location 825,Sanitation,4410924.9,2023-05-18,PWD
W-1234,MP_36,Uttar Pradesh,Constituency_19,Construction of Roads at location 965,Roads,12387804.73,2023-12-09,Municipal Corporation
W-1235,MP_49,Kerala,Constituency_8,Construction of Education at location 799,Education,903091.69,2023-07-21,Zila Parishad
W-1236,MP_38,Maharashtra,Constituency_5,Construction of Roads at location 833,Roads,10423365.83,2023-07-10,Municipal Corporation
W-1237,MP_34,Bihar,Constituency_17,Construction of Education at location 681,Education,7234168.07,2023-03-14,Municipal Corporation
W-1238,MP_26,Maharashtra,Constituency_3,Construction of Health at location 544,Health,14821656.68,2023-12-18,PWD
W-1239,MP_6,Uttar Pradesh,Constituency_19,Construction of Roads at location 993,Roads,1507540.07,2023-06-17,Zila Parishad
W-1240,MP_44,West Bengal,Constituency_4,Construction of Drinking Water at location 376,Drinking Water,13617708.39,2023-01-22,Municipal Corporation
W-1241,MP_12,Uttar Pradesh,Constituency_17,Construction of Sanitation at location 331,Sanitation,8527281.48,2023-10-10,Gram Panchayat
W-1242,MP_2,Maharashtra,Constituency_5,Construction of Health at location 289,Health,15804805.55,2023-05-21,Zila Parishad
W-1243,MP_26,Bihar,Constituency_8,Construction of Sanitation at location 202,Sanitation,2510866.57,2023-01-17,Gram Panchayat
W-1244,MP_34,West Bengal,Constituency_10,Construction of Roads at location 803,Roads,12798659.19,2023-07-27,Municipal Corporation
W-1245,MP_19,Uttar Pradesh,Constituency_12,Construction of Health at location 483,Health,5714339.54,2023-11-18,Municipal Corporation
W-1246,MP_36,Maharashtra,Constituency_9,Construction of Education at location 508,Education,17388864.86,2023-09-15,PWD
W-1247,MP_34,Kerala,Constituency_4,Construction of Roads at location 284,Roads,11867058.11,2023-10-28,PWD
W-1248,MP_35,Maharashtra,Constituency_18,Construction of Health at location 507,Health,18333698.95,2023-12-07,PWD
W-1249,MP_41,Uttar Pradesh,Constituency_11,Construction of Drinking Water at location 946,Drinking Water,4478480.98,2023-07-31,Municipal Corporation
W-1250,MP_11,Kerala,Constituency_8,Construction of Sanitation at location 946,Sanitation,12331268.63,2023-11-14,Municipal Corporation
W-1251,MP_3,Kerala,Constituency_14,Construction of Drinking Water at location 870,Drinking Water,5440464.82,2023-11-17,Municipal Corporation
W-1252,MP_9,Uttar Pradesh,Constituency_5,Construction of Drinking Water at location 568,Drinking Water,9359735.75,2023-07-06,Gram Panchayat
W-1253,MP_13,Bihar,Constituency_11,Construction of Health at location 214,Health,8448840.73,2023-09-13,Municipal Corporation
W-1254,MP_38,Bihar,Constituency_1,Construction of Sanitation at location 925,Sanitation,15837186.46,2023-05-13,Municipal Corporation
W-1255,MP_27,Maharashtra,Constituency_12,Construction of Drinking Water at location 535,Drinking Water,7459276.52,2023-06-02,Zila Parishad
W-1256,MP_39,Bihar,Constituency_10,Construction of Roads at location 881,Roads,18119389.65,2023-08-01,PWD
W-1257,MP_12,Kerala,Constituency_17,Construction of Education at location 414,Education,758395.15,2023-11-09,Municipal Corporation
W-1258,MP_21,Kerala,Constituency_8,Construction of Drinking Water at location 485,Drinking Water,15893927.79,2023-05-14,PWD
W-1259,MP_34,Bihar,Constituency_4,Construction of Roads at location 234,Roads,6564548.65,2023-01-28,PWD
W-1260,MP_33,West Bengal,Constituency_15,Construction of Roads at location 19,Roads,14080381.24,2023-07-14,PWD
W-1261,MP_24,Kerala,Constituency_7,Construction of Drinking Water at location 17,Drinking Water,2728572.51,2023-03-12,PWD
W-1262,MP_29,West Bengal,Constituency_15,Construction of Sanitation at location 416,Sanitation,5438811.48,2023-10-09,Zila Parishad
W-1263,MP_41,Maharashtra,Constituency_16,Construction of Education at location 364,Education,15935384.95,2023-04-28,Trust
W-1264,MP_48,Maharashtra,Constituency_18,Construction of Drinking Water at location 736,Drinking Water,17608333.84,2023-05-16,Gram Panchayat
W-1265,MP_45,Bihar,Constituency_13,Construction of Health at location 960,Health,11401656.06,2023-08-09,Municipal Corporation
W-1266,MP_31,Uttar Pradesh,Constituency_11,Construction of Education at location 96,Education,7894917.48,2023-12-13,Municipal Corporation
W-1267,MP_45,Maharashtra,Constituency_16,Construction of Drinking Water at location 500,Drinking Water,785251.05,2023-07-28,PWD
W-1268,MP_42,West Bengal,Constituency_4,Construction of Sanitation at location 757,Sanitation,3551295.96,2023-03-03,Municipal Corporation
W-1269,MP_10,Kerala,Constituency_12,Construction of Health at location 395,Health,11379585.18,2023-07-26,Gram Panchayat
W-1270,MP_3,Maharashtra,Constituency_6,Construction of Sanitation at location 129,Sanitation,16605395.29,2023-06-22,Municipal Corporation
W-1271,MP_33,Uttar Pradesh,Constituency_12,Construction of Health at location 392,Health,9547807.56,2023-09-14,Zila Parishad
W-1272,MP_40,Maharashtra,Constituency_14,Construction of Sanitation at location 455,Sanitation,13502052.24,2023-04-14,PWD
W-1273,MP_43,West Bengal,Constituency_12,Construction of Sanitation at location 799,Sanitation,16229968.53,2023-04-01,Zila Parishad
W-1274,MP_30,West Bengal,Constituency_11,Construction of Health at location 304,Health,806986.8,2023-10-18,Zila Parishad
W-1275,MP_16,West Bengal,Constituency_3,Construction of Sanitation at location 853,Sanitation,11945261.88,2023-05-05,Municipal Corporation
W-1276,MP_46,West Bengal,Constituency_11,Construction of Drinking Water at location 695,Drinking Water,10789710.59,2023-01-28,Zila Parishad
W-1277,MP_23,West Bengal,Constituency_18,Construction of Education at location 277,Education,1560619.6,2023-05-13,Gram Panchayat
W-1278,MP_40,Uttar Pradesh,Constituency_15,Construction of Health at location 406,Health,11804660.06,2023-08-02,Gram Panchayat
W-1279,MP_3,West Bengal,Constituency_6,Construction of Health at location 184,Health,8336800.4,2023-03-31,Zila Parishad
W-1280,MP_26,Uttar Pradesh,Constituency_8,Construction of Roads at location 640,Roads,17678973.61,2023-12-06,Municipal Corporation
W-1281,MP_35,West Bengal,Constituency_9,Construction of Education at location 212,Education,17998634.38,2023-10-20,Zila Parishad
W-1282,MP_42,Uttar Pradesh,Constituency_17,Construction of Sanitation at location 915,Sanitation,15893483.73,2023-01-11,Zila Parishad
W-1283,MP_40,Uttar Pradesh,Constituency_5,Construction of Health at location 56,Health,4541823.09,2023-12-26,Gram Panchayat
W-1284,MP_31,Bihar,Constituency_4,Construction of Drinking Water at location 960,Drinking Water,17360848.98,2023-06-15,Zila Parishad
W-1285,MP_40,Kerala,Constituency_10,Construction of Education at location 940,Education,3897746.33,2023-04-22,Gram Panchayat
W-1286,MP_18,Kerala,Constituency_16,Construction of Education at location 972,Education,6620572.19,2023-04-16,Trust
W-1287,MP_16,Kerala,Constituency_13,Construction of Roads at location 447,Roads,9922026.83,2023-11-28,Municipal Corporation
W-1288,MP_13,West Bengal,Constituency_8,Construction of Sanitation at location 849,Sanitation,10447893.42,2023-08-17,Zila Parishad
W-1289,MP_28,Maharashtra,Constituency_6,Construction of Sanitation at location 734,Sanitation,4065336.71,2023-05-11,Zila Parishad
W-1290,MP_49,West Bengal,Constituency_12,Construction of Education at location 799,Education,16020564.55,2023-12-15,Municipal Corporation
W-1291,MP_20,Kerala,Constituency_17,Construction of Health at location 717,Health,3464947.06,2023-12-03,PWD
W-1292,MP_49,West Bengal,Constituency_5,Construction of Health at location 473,Health,3512597.98,2023-07-08,Gram Panchayat
W-1293,MP_17,Kerala,Constituency_16,Construction of Education at location 628,Education,18256811.49,2023-05-23,Gram Panchayat
W-1294,MP_34,Uttar Pradesh,Constituency_11,Construction of Roads at location 800,Roads,9580809.56,2023-09-28,Gram Panchayat
W-1295,MP_39,Bihar,Constituency_11,Construction of Education at location 863,Education,4610238.26,2023-09-30,Trust
W-1296,MP_41,West Bengal,Constituency_8,Construction of Roads at location 227,Roads,6204070.3,2023-05-19,Municipal Corporation
W-1297,MP_28,West Bengal,Constituency_6,Construction of Drinking Water at location 550,Drinking Water,12192737.58,2023-04-29,PWD
W-1298,MP_19,Uttar Pradesh,Constituency_14,Construction of Drinking Water at location 252,Drinking Water,3273977.18,2023-12-21,Gram Panchayat
W-1299,MP_44,Bihar,Constituency_6,Construction of Education at location 137,Education,12106650.27,2023-07-03,Trust
W-1300,MP_10,Bihar,Constituency_8,Construction of Education at location 835,Education,16439453.02,2023-06-01,PWD
W-1301,MP_23,Bihar,Constituency_12,Construction of Health at location 87,Health,13975588.35,2023-06-25,Gram Panchayat
W-1302,MP_15,Kerala,Constituency_6,Construction of Drinking Water at location 250,Drinking Water,12828643.94,2023-10-29,Trust
W-1303,MP_22,West Bengal,Constituency_3,Construction of Education at location 552,Education,11431306.28,2023-08-30,Gram Panchayat
W-1304,MP_9,West Bengal,Constituency_5,Construction of Education at location 752,Education,14907900.2,2023-01-02,Zila Parishad
W-1305,MP_39,Bihar,Constituency_9,Construction of Drinking Water at location 981,Drinking Water,7276616.51,2023-07-03,Gram Panchayat
W-1306,MP_42,Kerala,Constituency_1,Construction of Drinking Water at location 405,Drinking Water,16503575.13,2023-12-01,Gram Panchayat
W-1307,MP_46,Kerala,Constituency_3,Construction of Sanitation at location 655,Sanitation,15356730.43,2023-11-06,PWD
W-1308,MP_6,Bihar,Constituency_6,Construction of Education at location 448,Education,19437442.69,2023-08-30,Municipal Corporation
W-1309,MP_35,West Bengal,Constituency_17,Construction of Education at location 916,Education,13786383.76,2023-04-10,PWD
W-1310,MP_37,Uttar Pradesh,Constituency_14,Construction of Health at location 808,Health,1068526.13,2023-07-06,Municipal Corporation
W-1311,MP_45,West Bengal,Constituency_7,Construction of Drinking Water at location 776,Drinking Water,18718930.23,2023-03-12,Gram Panchayat
W-1312,MP_45,Uttar Pradesh,Constituency_11,Construction of Sanitation at location 350,Sanitation,5124317.09,2023-05-02,Zila Parishad
W-1313,MP_20,Maharashtra,Constituency_10,Construction of Education at location 447,Education,16655518.61,2023-11-19,Gram Panchayat
W-1314,MP_20,West Bengal,Constituency_1,Construction of Education at location 973,Education,15713690.74,2023-09-08,Gram Panchayat
W-1315,MP_23,Kerala,Constituency_15,Construction of Roads at location 924,Roads,11525689.37,2023-08-25,Trust
W-1316,MP_34,West Bengal,Constituency_16,Construction of Drinking Water at location 99,Drinking Water,16687944.17,2023-01-11,PWD
W-1317,MP_16,Bihar,Constituency_11,Construction of Roads at location 755,Roads,17230124.27,2023-01-18,Municipal Corporation
W-1318,MP_2,Uttar Pradesh,Constituency_7,Construction of Drinking Water at location 827,Drinking Water,11538397.11,2023-10-10,Zila Parishad
W-1319,MP_36,West Bengal,Constituency_17,Construction of Sanitation at location 520,Sanitation,2253366.77,2023-11-21,PWD
W-1320,MP_29,Kerala,Constituency_5,Construction of Education at location 911,Education,14029208.36,2023-08-16,Municipal Corporation
W-1321,MP_36,Uttar Pradesh,Constituency_6,Construction of Drinking Water at location 918,Drinking Water,13754095.73,2023-08-12,Municipal Corporation
W-1322,MP_22,Kerala,Constituency_4,Construction of Health at location 948,Health,4984878.2,2023-11-25,Gram Panchayat
W-1323,MP_20,Bihar,Constituency_5,Construction of Education at location 677,Education,13589781.09,2023-10-05,Municipal Corporation
W-1324,MP_31,Bihar,Constituency_19,Construction of Sanitation at location 288,Sanitation,8970049.21,2023-11-18,Zila Parishad
W-1325,MP_11,Kerala,Constituency_1,Construction of Sanitation at location 4,Sanitation,815907.75,2023-11-23,Gram Panchayat
W-1326,MP_44,Bihar,Constituency_4,Construction of Education at location 410,Education,2318793.21,2023-10-23,Gram Panchayat
W-1327,MP_42,Uttar Pradesh,Constituency_10,Construction of Roads at location 845,Roads,13218589.39,2023-12-27,Gram Panchayat
W-1328,MP_12,Bihar,Constituency_2,Construction of Roads at location 588,Roads,766807.09,2023-12-12,Municipal Corporation
W-1329,MP_24,Maharashtra,Constituency_4,Construction of Education at location 386,Education,16207755.31,2023-06-08,Gram Panchayat
W-1330,MP_34,Kerala,Constituency_14,Construction of Drinking Water at location 332,Drinking Water,3293988.44,2023-05-30,Gram Panchayat
W-1331,MP_38,Uttar Pradesh,Constituency_18,Construction of Education at location 663,Education,5803113.91,2023-12-31,Municipal Corporation
W-1332,MP_23,Uttar Pradesh,Constituency_13,Construction of Sanitation at location 711,Sanitation,3124237.21,2023-02-15,Zila Parishad
W-1333,MP_14,Kerala,Constituency_8,Construction of Education at location 865,Education,14386672.39,2023-09-02,Zila Parishad
W-1334,MP_9,Uttar Pradesh,Constituency_5,Construction of Sanitation at location 326,Sanitation,7909592.04,2023-04-05,Municipal Corporation
W-1335,MP_35,West Bengal,Constituency_16,Construction of Health at location 558,Health,6740532.67,2023-07-12,Zila Parishad
W-1336,MP_27,Uttar Pradesh,Constituency_5,Construction of Health at location 204,Health,14161924.18,2023-07-31,Gram Panchayat
W-1337,MP_45,Uttar Pradesh,Constituency_15,Construction of Education at location 211,Education,19287858.98,2023-07-19,Municipal Corporation
W-1338,MP_11,Uttar Pradesh,Constituency_14,Construction of Drinking Water at location 42,Drinking Water,1310789.72,2023-01-11,Gram Panchayat
W-1339,MP_7,West Bengal,Constituency_15,Construction of Education at location 359,Education,19933030.3,2023-11-13,Zila Parishad
W-1340,MP_11,Kerala,Constituency_4,Construction of Roads at location 7,Roads,8539454.69,2023-05-02,Municipal Corporation
W-1341,MP_33,Maharashtra,Constituency_19,Construction of Health at location 782,Health,1691541.02,2023-11-30,PWD
W-1342,MP_23,Bihar,Constituency_6,Construction of Roads at location 490,Roads,13150925.03,2023-01-07,Gram Panchayat
W-1343,MP_1,West Bengal,Constituency_1,Construction of Health at location 949,Health,3671885.89,2023-07-07,PWD
W-1344,MP_24,Kerala,Constituency_8,Construction of Education at location 292,Education,2045965.55,2023-09-01,Municipal Corporation
W-1345,MP_39,Uttar Pradesh,Constituency_17,Construction of Drinking Water at location 944,Drinking Water,10298572.1,2023-02-08,PWD
W-1346,MP_6,Kerala,Constituency_13,Construction of Health at location 712,Health,8405745.09,2023-06-01,PWD
W-1347,MP_43,Kerala,Constituency_1,Construction of Sanitation at location 271,Sanitation,13057153.3,2023-09-15,Gram Panchayat
W-1348,MP_4,West Bengal,Constituency_18,Construction of Roads at location 98,Roads,1828125.98,2023-04-03,Zila Parishad
W-1349,MP_9,Uttar Pradesh,Constituency_17,Construction of Drinking Water at location 429,Drinking Water,1661948.4,2023-05-30,Municipal Corporation
W-1350,MP_10,Kerala,Constituency_19,Construction of Health at location 29,Health,1497429.01,2023-02-04,Zila Parishad
W-1351,MP_8,Kerala,Constituency_13,Construction of Sanitation at location 195,Sanitation,11378536.68,2023-01-09,Gram Panchayat
W-1352,MP_25,Bihar,Constituency_17,Construction of Drinking Water at location 12,Drinking Water,2975416.07,2023-12-11,PWD
W-1353,MP_13,West Bengal,Constituency_18,Construction of Education at location 846,Education,1996782.21,2023-10-11,Zila Parishad
W-1354,MP_4,Maharashtra,Constituency_1,Construction of Roads at location 994,Roads,19372153.38,2023-11-19,Zila Parishad
W-1355,MP_45,Bihar,Constituency_10,Construction of Drinking Water at location 175,Drinking Water,15741834.88,2023-11-15,PWD
W-1356,MP_43,Maharashtra,Constituency_19,Construction of Education at location 850,Education,14751971.74,2023-03-17,Gram Panchayat
W-1357,MP_35,Kerala,Constituency_2,Construction of Sanitation at location 638,Sanitation,11586768.98,2023-12-09,Zila Parishad
W-1358,MP_21,Uttar Pradesh,Constituency_8,Construction of Roads at location 489,Roads,7410355.07,2023-03-06,PWD
W-1359,MP_23,Kerala,Constituency_7,Construction of Education at location 813,Education,14974292.15,2023-03-29,Zila Parishad
W-1360,MP_31,West Bengal,Constituency_13,Construction of Sanitation at location 90,Sanitation,12397104.48,2023-10-23,Gram Panchayat
W-1361,MP_41,Bihar,Constituency_18,Construction of Education at location 249,Education,2280521.65,2023-02-07,Gram Panchayat
W-1362,MP_35,Bihar,Constituency_13,Construction of Roads at location 996,Roads,940007.98,2023-06-02,Municipal Corporation
W-1363,MP_42,West Bengal,Constituency_1,Construction of Education at location 481,Education,4373569.25,2023-12-02,Zila Parishad
W-1364,MP_24,Bihar,Constituency_18,Construction of Health at location 381,Health,12294368.87,2023-11-25,Gram Panchayat
W-1365,MP_5,West Bengal,Constituency_5,Construction of Health at location 79,Health,17775322.91,2023-05-26,Gram Panchayat
W-1366,MP_35,Maharashtra,Constituency_11,Construction of Sanitation at location 509,Sanitation,17252679.27,2023-10-25,PWD
W-1367,MP_26,Kerala,Constituency_14,Construction of Education at location 197,Education,13987285.21,2023-08-11,Zila Parishad
W-1368,MP_11,West Bengal,Constituency_18,Construction of Health at location 192,Health,5028381.47,2023-11-21,Zila Parishad
W-1369,MP_14,Maharashtra,Constituency_3,Construction of Roads at location 467,Roads,13010587.05,2023-12-24,Municipal Corporation
W-1370,MP_28,West Bengal,Constituency_18,Construction of Health at location 595,Health,11145508.9,2023-02-11,PWD
W-1371,MP_46,Maharashtra,Constituency_17,Construction of Education at location 538,Education,6467919.74,2023-04-25,PWD
W-1372,MP_30,Kerala,Constituency_7,Construction of Education at location 328,Education,18942119.19,2023-06-28,Zila Parishad
W-1373,MP_40,West Bengal,Constituency_13,Construction of Education at location 1,Education,4745394.0,2023-08-07,Municipal Corporation
W-1374,MP_37,Maharashtra,Constituency_4,Construction of Roads at location 699,Roads,9487517.6,2023-07-28,PWD
W-1375,MP_14,Kerala,Constituency_18,Construction of Drinking Water at location 335,Drinking Water,19247624.08,2023-03-20,Gram Panchayat
W-1376,MP_13,Kerala,Constituency_17,Construction of Roads at location 546,Roads,7465250.51,2023-03-20,Gram Panchayat
W-1377,MP_17,West Bengal,Constituency_2,Construction of Sanitation at location 974,Sanitation,12109644.22,2023-03-30,PWD
W-1378,MP_4,Maharashtra,Constituency_2,Construction of Sanitation at location 935,Sanitation,12122977.26,2023-12-16,Gram Panchayat
W-1379,MP_2,Maharashtra,Constituency_10,Construction of Roads at location 875,Roads,10503097.32,2023-04-10,Municipal Corporation
W-1380,MP_4,Maharashtra,Constituency_4,Construction of Sanitation at location 82,Sanitation,7809086.02,2023-10-10,PWD
W-1381,MP_42,Bihar,Constituency_18,Construction of Roads at location 13,Roads,9317948.34,2023-01-18,PWD
W-1382,MP_3,West Bengal,Constituency_4,Construction of Drinking Water at location 618,Drinking Water,15214102.54,2023-09-20,Gram Panchayat
W-1383,MP_6,West Bengal,Constituency_19,Construction of Health at location 984,Health,6502473.43,2023-11-24,Municipal Corporation
W-1384,MP_20,Kerala,Constituency_11,Construction of Sanitation at location 499,Sanitation,2582613.73,2023-02-11,Municipal Corporation
W-1385,MP_44,West Bengal,Constituency_19,Construction of Drinking Water at location 803,Drinking Water,4207510.94,2023-04-24,Zila Parishad
W-1386,MP_10,Bihar,Constituency_4,Construction of Education at location 273,Education,17819731.32,2023-07-06,PWD
W-1387,MP_17,West Bengal,Constituency_10,Construction of Sanitation at location 652,Sanitation,13267144.3,2023-11-22,PWD
W-1388,MP_44,Bihar,Constituency_15,Construction of Education at location 794,Education,1340452.12,2023-04-07,Gram Panchayat
W-1389,MP_3,Kerala,Constituency_15,Construction of Sanitation at location 546,Sanitation,18792250.72,2023-04-07,Municipal Corporation
W-1390,MP_39,Kerala,Constituency_6,Construction of Drinking Water at location 583,Drinking Water,12131107.97,2023-03-31,Municipal Corporation
W-1391,MP_41,Uttar Pradesh,Constituency_16,Construction of Education at location 284,Education,4266620.16,2023-07-28,Gram Panchayat
W-1392,MP_11,Uttar Pradesh,Constituency_1,Construction of Drinking Water at location 537,Drinking Water,7527683.78,2023-04-11,Zila Parishad
W-1393,MP_2,Maharashtra,Constituency_5,Construction of Roads at location 318,Roads,7185359.81,2023-05-17,Gram Panchayat
W-1394,MP_45,Kerala,Constituency_10,Construction of Roads at location 274,Roads,3741472.56,2023-02-11,PWD
W-1395,MP_15,West Bengal,Constituency_13,Construction of Education at location 783,Education,15006151.15,2023-09-04,Gram Panchayat
W-1396,MP_44,Bihar,Constituency_17,Construction of Roads at location 588,Roads,6587741.73,2023-06-26,Zila Parishad
W-1397,MP_49,Uttar Pradesh,Constituency_1,Construction of Roads at location 266,Roads,13638246.48,2023-04-28,Zila Parishad
W-1398,MP_26,West Bengal,Constituency_1,Construction of Roads at location 301,Roads,4712613.09,2023-07-31,PWD
W-1399,MP_36,Bihar,Constituency_16,Construction of Drinking Water at location 746,Drinking Water,5225897.06,2023-03-28,PWD
W-1400,MP_36,Uttar Pradesh,Constituency_2,Construction of Education at location 674,Education,13145058.86,2023-02-13,PWD
W-1401,MP_40,West Bengal,Constituency_19,Construction of Education at location 774,Education,17458168.85,2023-03-25,Gram Panchayat
W-1402,MP_9,West Bengal,Constituency_5,Construction of Education at location 93,Education,10602504.72,2023-01-17,PWD
W-1403,MP_46,Uttar Pradesh,Constituency_12,Construction of Drinking Water at location 169,Drinking Water,14658654.6,2023-01-10,Zila Parishad
W-1404,MP_18,Bihar,Constituency_4,Construction of Sanitation at location 19,Sanitation,2867590.66,2023-05-10,Gram Panchayat
W-1405,MP_11,Maharashtra,Constituency_8,Construction of Health at location 309,Health,4352340.16,2023-08-16,PWD
W-1406,MP_20,Kerala,Constituency_7,Construction of Roads at location 129,Roads,1215902.4,2023-10-21,PWD
W-1407,MP_21,Bihar,Constituency_8,Construction of Sanitation at location 57,Sanitation,9928212.66,2023-02-08,Zila Parishad
W-1408,MP_32,Bihar,Constituency_10,Construction of Drinking Water at location 794,Drinking Water,2824603.64,2023-01-25,Municipal Corporation
W-1409,MP_18,Maharashtra,Constituency_2,Construction of Roads at location 229,Roads,12525897.8,2023-08-14,Gram Panchayat
W-1410,MP_33,Maharashtra,Constituency_4,Construction of Sanitation at location 808,Sanitation,6061513.15,2023-03-30,Gram Panchayat
W-1411,MP_18,Bihar,Constituency_8,Construction of Roads at location 112,Roads,3709685.84,2023-01-05,PWD
W-1412,MP_44,Bihar,Constituency_11,Construction of Health at location 594,Health,17283022.52,2023-03-18,Municipal Corporation
W-1413,MP_37,Uttar Pradesh,Constituency_15,Construction of Sanitation at location 517,Sanitation,14525071.17,2023-11-26,Zila Parishad
W-1414,MP_1,West Bengal,Constituency_6,Construction of Health at location 11,Health,12524128.57,2023-04-18,Gram Panchayat
W-1415,MP_13,West Bengal,Constituency_8,Construction of Education at location 144,Education,19723171.36,2023-07-08,PWD
W-1416,MP_5,Maharashtra,Constituency_12,Construction of Health at location 694,Health,16676533.71,2023-10-11,PWD
W-1417,MP_8,Maharashtra,Constituency_9,Construction of Sanitation at location 768,Sanitation,4493646.98,2023-11-03,Zila Parishad
W-1418,MP_25,Bihar,Constituency_4,Construction of Health at location 610,Health,8973353.78,2023-04-11,Gram Panchayat
W-1419,MP_28,Maharashtra,Constituency_15,Construction of Drinking Water at location 336,Drinking Water,4992539.47,2023-03-17,Municipal Corporation
W-1420,MP_26,West Bengal,Constituency_7,Construction of Roads at location 446,Roads,16015374.5,2023-10-21,Municipal Corporation
W-1421,MP_31,Maharashtra,Constituency_8,Construction of Education at location 811,Education,17208289.32,2023-04-08,Municipal Corporation
W-1422,MP_22,Uttar Pradesh,Constituency_3,Construction of Roads at location 854,Roads,17327712.65,2023-04-24,Municipal Corporation
W-1423,MP_23,Bihar,Constituency_15,Construction of Health at location 528,Health,8333089.41,2023-06-14,Zila Parishad
W-1424,MP_4,West Bengal,Constituency_12,Construction of Education at location 546,Education,7189020.9,2023-07-13,PWD
W-1425,MP_1,West Bengal,Constituency_8,Construction of Health at location 881,Health,12900259.93,2023-08-19,Zila Parishad
W-1426,MP_33,West Bengal,Constituency_4,Construction of Sanitation at location 846,Sanitation,11584423.11,2023-04-07,Municipal Corporation
W-1427,MP_23,Uttar Pradesh,Constituency_14,Construction of Health at location 916,Health,17863598.49,2023-07-01,Gram Panchayat
W-1428,MP_41,Bihar,Constituency_3,Construction of Education at location 153,Education,7476217.88,2023-05-07,Gram Panchayat
W-1429,MP_49,West Bengal,Constituency_13,Construction of Roads at location 849,Roads,18783975.71,2023-11-18,Municipal Corporation
W-1430,MP_5,Uttar Pradesh,Constituency_17,Construction of Drinking Water at location 373,Drinking Water,10995291.99,2023-09-03,Zila Parishad
W-1431,MP_24,Maharashtra,Constituency_19,Construction of Sanitation at location 146,Sanitation,13526063.39,2023-02-26,Zila Parishad
W-1432,MP_22,Uttar Pradesh,Constituency_3,Construction of Education at location 211,Education,16294585.5,2023-12-31,Municipal Corporation
W-1433,MP_48,Uttar Pradesh,Constituency_18,Construction of Education at location 732,Education,13259755.96,2023-01-18,Zila Parishad
W-1434,MP_46,West Bengal,Constituency_9,Construction of Education at location 547,Education,5328817.04,2023-03-23,Zila Parishad
W-1435,MP_15,Uttar Pradesh,Constituency_4,Construction of Roads at location 1,Roads,6654847.7,2023-05-15,Zila Parishad
W-1436,MP_7,Bihar,Constituency_4,Construction of Roads at location 479,Roads,7927362.07,2023-09-09,PWD
W-1437,MP_32,Bihar,Constituency_18,Construction of Education at location 515,Education,13704326.85,2023-08-02,Zila Parishad
W-1438,MP_19,Maharashtra,Constituency_6,Construction of Sanitation at location 992,Sanitation,10428140.55,2023-08-07,Gram Panchayat
W-1439,MP_25,West Bengal,Constituency_12,Construction of Sanitation at location 324,Sanitation,16974849.67,2023-10-29,Gram Panchayat
W-1440,MP_43,Uttar Pradesh,Constituency_15,Construction of Education at location 227,Education,18240001.89,2023-08-04,Gram Panchayat
W-1441,MP_16,Maharashtra,Constituency_8,Construction of Sanitation at location 547,Sanitation,5583821.1,2023-09-16,PWD
W-1442,MP_2,West Bengal,Constituency_13,Construction of Roads at location 447,Roads,6794790.97,2023-01-20,Gram Panchayat
W-1443,MP_49,Bihar,Constituency_15,Construction of Sanitation at location 584,Sanitation,15413136.72,2023-06-14,Municipal Corporation
W-1444,MP_16,Bihar,Constituency_1,Construction of Education at location 610,Education,10721827.29,2023-06-05,Zila Parishad
W-1445,MP_47,Bihar,Constituency_10,Construction of Sanitation at location 187,Sanitation,8040580.77,2023-02-07,Municipal Corporation
W-1446,MP_39,Kerala,Constituency_19,Construction of Health at location 894,Health,15887374.18,2023-01-03,Gram Panchayat
W-1447,MP_47,Bihar,Constituency_11,Construction of Drinking Water at location 123,Drinking Water,10527426.72,2023-07-12,Municipal Corporation
W-1448,MP_2,Uttar Pradesh,Constituency_9,Construction of Drinking Water at location 188,Drinking Water,18606832.89,2023-08-18,PWD
W-1449,MP_26,West Bengal,Constituency_14,Construction of Sanitation at location 981,Sanitation,14448785.06,2023-12-12,Trust
W-1450,MP_31,West Bengal,Constituency_15,Construction of Sanitation at location 888,Sanitation,9456421.92,2023-07-27,PWD
W-1451,MP_25,West Bengal,Constituency_14,Construction of Education at location 456,Education,9199910.5,2023-09-21,Zila Parishad
W-1452,MP_9,Bihar,Constituency_16,Construction of Drinking Water at location 394,Drinking Water,14685321.63,2023-10-12,Trust
W-1453,MP_33,Uttar Pradesh,Constituency_14,Construction of Roads at location 73,Roads,12128756.7,2023-09-06,Zila Parishad
W-1454,MP_7,Kerala,Constituency_10,Construction of Drinking Water at location 676,Drinking Water,2959147.76,2023-12-27,PWD
W-1455,MP_6,Maharashtra,Constituency_3,Construction of Sanitation at location 314,Sanitation,15649428.09,2023-11-22,Zila Parishad
